id,Timestamp,Category,Money,Description,Details
957668885,2022-11-17T04:38:07.959691+00:00,fees,-2793,Market fees selling High grade e-comps,{}
957668884,2022-11-17T04:38:07.956227+00:00,market,93090,High grade e-comps market order filled,"{""resource"": ""High grade e-comps"", ""amount"": 107, ""quality"": 2, ""price"": ""$870.00"", ""buyer"": ""Scrubb Electronics"", ""profit"": 32359}"
957605876,2022-11-17T03:32:29.226187+00:00,taxes,-24194,Accounting overhead,"{""Cash"": ""$844,206"", ""Investment in bonds"": ""$6,075,000"", ""Bonds payable"": ""$0"", ""Executive lift"": ""$0"", ""Cash/bonds value over $3,000,000 at 0.5%"": ""$19,597"", ""Cash/bonds value over $6,000,000 at 0.5%"": ""$4,597""}"
957592241,2022-11-17T03:16:38.879745+00:00,market,14705,High grade e-comps market order filled,"{""resource"": ""High grade e-comps"", ""amount"": 17, ""quality"": 2, ""price"": ""$865.00"", ""buyer"": ""Preaches607 Inc"", ""profit"": 5437}"
957591345,2022-11-17T03:15:21.094580+00:00,market,865,High grade e-comps market order partially filled,"{""resource"": ""High grade e-comps"", ""amount"": 1, ""quality"": 2, ""price"": ""$865.00"", ""buyer"": ""Lonely Sky Ventures"", ""profit"": ""$319"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
957584561,2022-11-17T03:05:05.790823+00:00,fees,-1402,Market fees selling High grade e-comps,"{""remaining_fees"": ""$0""}"
957584560,2022-11-17T03:05:05.787446+00:00,market,31140,High grade e-comps market order partially filled,"{""resource"": ""High grade e-comps"", ""amount"": 36, ""quality"": 2, ""price"": ""$865.00"", ""buyer"": ""RJs LLC"", ""profit"": ""$10113"", ""fees"": ""$1402"", ""remaining_fees"": ""$0""}"
957579952,2022-11-17T02:57:50.854460+00:00,production,-21132,Production of Carbon composite,"{""amount"": 3276, ""price"": ""$46.14"", ""quality"": 1}"
957564266,2022-11-17T02:31:55.037263+00:00,production,-19351,Production of Carbon composite,"{""amount"": 3000, ""price"": ""$46.13"", ""quality"": 1}"
957564149,2022-11-17T02:31:40.498592+00:00,production,-133,Production of Golden bars,"{""amount"": 9, ""price"": ""$4137.64"", ""quality"": 2}"
957563848,2022-11-17T02:31:05.559853+00:00,production,-53617,Production of Carbon fibers,"{""amount"": 25790, ""price"": ""$4.96"", ""quality"": 1}"
957466162,2022-11-17T00:13:01.826458+00:00,interest,1530,Bond yield,"{""bond value"": ""$300000"", ""interest"": ""0.5%"", ""issuer"": ""Unicorn Processing""}"
957464906,2022-11-17T00:12:47.577765+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""HABASHAVACILIK""}"
957453247,2022-11-17T00:11:16.965085+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Oilexia""}"
957442088,2022-11-17T00:10:46.743034+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Rockport""}"
957440804,2022-11-17T00:10:43.801896+00:00,interest,500,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""RWTH Primary Contractor""}"
957435213,2022-11-17T00:10:30.382322+00:00,interest,500,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""Eymo1919""}"
957431450,2022-11-17T00:10:20.666066+00:00,interest,510,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""Mr..Elon Musk""}"
957430958,2022-11-17T00:10:19.340976+00:00,interest,2550,Bond yield,"{""bond value"": ""$500000"", ""interest"": ""0.5%"", ""issuer"": ""Capybara Company""}"
957429313,2022-11-17T00:10:14.888348+00:00,interest,1000,Bond yield,"{""bond value"": ""$200000"", ""interest"": ""0.5%"", ""issuer"": ""Full Live""}"
957423504,2022-11-17T00:09:59.137367+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""BOOP PROSPECTING.""}"
957414767,2022-11-17T00:09:36.868785+00:00,interest,688,Bond yield,"{""bond value"": ""$135000"", ""interest"": ""0.5%"", ""issuer"": ""Anadolu""}"
957412383,2022-11-17T00:09:31.436101+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Wonka chocolate""}"
957410569,2022-11-17T00:09:26.916583+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Plucking Frog""}"
957403600,2022-11-17T00:09:12.476418+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Don Aspi TKOC""}"
957397984,2022-11-17T00:09:02.023139+00:00,interest,390,Bond yield,"{""bond value"": ""$75000"", ""interest"": ""0.5%"", ""issuer"": ""A.V.H BLUE MOON""}"
957386758,2022-11-17T00:08:43.923951+00:00,interest,2600,Bond yield,"{""bond value"": ""$500000"", ""interest"": ""0.5%"", ""issuer"": ""Beatniks Cash Salad""}"
957383361,2022-11-17T00:08:38.233208+00:00,interest,400,Bond yield,"{""bond value"": ""$80000"", ""interest"": ""0.5%"", ""issuer"": ""WE GOT U""}"
957383109,2022-11-17T00:08:37.574067+00:00,interest,150,Bond yield,"{""bond value"": ""$30000"", ""interest"": ""0.5%"", ""issuer"": ""Simgi Entreprise""}"
957383104,2022-11-17T00:08:37.557538+00:00,interest,1000,Bond yield,"{""bond value"": ""$200000"", ""interest"": ""0.5%"", ""issuer"": ""Jerem store""}"
957379529,2022-11-17T00:08:29.306333+00:00,interest,510,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""GRUP LDS""}"
957371385,2022-11-17T00:08:14.909798+00:00,interest,1500,Bond yield,"{""bond value"": ""$300000"", ""interest"": ""0.5%"", ""issuer"": ""Gungor holding 0""}"
957370462,2022-11-17T00:08:13.188247+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""UGC Logistics""}"
957369010,2022-11-17T00:08:10.560039+00:00,interest,1000,Bond yield,"{""bond value"": ""$200000"", ""interest"": ""0.5%"", ""issuer"": ""Gwen Corp""}"
957367972,2022-11-17T00:08:08.978102+00:00,interest,750,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.6%"", ""issuer"": ""KANLIS""}"
957367964,2022-11-17T00:08:08.966557+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""UTOPIA MINDS""}"
957367555,2022-11-17T00:08:08.166950+00:00,interest,500,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""LACTALOS""}"
957361879,2022-11-17T00:07:58.059630+00:00,interest,500,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""TechnoSpace CO.""}"
957361870,2022-11-17T00:07:58.046418+00:00,interest,750,Bond yield,"{""bond value"": ""$150000"", ""interest"": ""0.5%"", ""issuer"": ""Madeireira Cara de Pau""}"
957338596,2022-11-17T00:07:17.628909+00:00,interest,255,Bond yield,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""issuer"": ""BestBeverage""}"
957329628,2022-11-17T00:07:00.936079+00:00,interest,637,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""AllCore Electronics""}"
957310507,2022-11-17T00:06:23.399911+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""SECCEN UK""}"
957310499,2022-11-17T00:06:23.388569+00:00,interest,950,Bond yield,"{""bond value"": ""$190000"", ""interest"": ""0.5%"", ""issuer"": ""Alekos S.A.""}"
957310478,2022-11-17T00:06:23.356861+00:00,interest,425,Bond yield,"{""bond value"": ""$85000"", ""interest"": ""0.5%"", ""issuer"": ""Fate Co""}"
957310471,2022-11-17T00:06:23.345880+00:00,interest,1775,Bond yield,"{""bond value"": ""$355000"", ""interest"": ""0.5%"", ""issuer"": ""Brother Xiaoye""}"
957044637,2022-11-16T21:42:56.489185+00:00,bonds,125000,Bond call,"{""issuer"": ""Win Win Street food"", ""amount"": 25, ""interest"": 0.5}"
956715109,2022-11-16T16:35:08.415929+00:00,production,-13510,Production of Fuselage,"{""amount"": 73, ""price"": ""$2021.62"", ""quality"": 0}"
956714972,2022-11-16T16:35:03.149661+00:00,production,-12955,Production of Fuselage,"{""amount"": 70, ""price"": ""$2021.62"", ""quality"": 0}"
956714727,2022-11-16T16:34:48.631351+00:00,production,-38902,Production of High grade e-comps,"{""amount"": 176, ""price"": ""$545.56"", ""quality"": 2}"
956714474,2022-11-16T16:34:35.497275+00:00,production,-16126,Production of Carbon composite,"{""amount"": 2500, ""price"": ""$46.08"", ""quality"": 1}"
956463632,2022-11-16T12:29:50.217947+00:00,market,50730,Fuselage market order filled,"{""resource"": ""Fuselage"", ""amount"": 19, ""quality"": 0, ""price"": ""$2670.00"", ""buyer"": ""TOP TOGHANRO INTEGRATED"", ""profit"": 12321}"
956363115,2022-11-16T10:43:16.393095+00:00,production,-80415,Production of Carbon fibers,"{""amount"": 38680, ""price"": ""$4.96"", ""quality"": 1}"
956362896,2022-11-16T10:43:00.480295+00:00,production,-6451,Production of Carbon composite,"{""amount"": 1000, ""price"": ""$46.04"", ""quality"": 1}"
956337289,2022-11-16T10:09:54.933603+00:00,fees,-1496,Market fees selling Fuselage,"{""remaining_fees"": ""$0""}"
956337288,2022-11-16T10:09:54.931522+00:00,market,85440,Fuselage market order partially filled,"{""resource"": ""Fuselage"", ""amount"": 32, ""quality"": 0, ""price"": ""$2670.00"", ""buyer"": ""NLLP Company Limited"", ""profit"": ""$19256"", ""fees"": ""$1496"", ""remaining_fees"": ""$0""}"
956286143,2022-11-16T09:09:21.785082+00:00,fees,-558,Market fees selling Golden bars,{}
956286142,2022-11-16T09:09:21.782480+00:00,market,18600,Golden bars market order filled,"{""resource"": ""Golden bars"", ""amount"": 3, ""quality"": 2, ""price"": ""$6200.00"", ""buyer"": ""Rashford"", ""profit"": 5388}"
956277577,2022-11-16T08:58:16.506897+00:00,fees,-2670,Market fees selling Fuselage,"{""remaining_fees"": ""$1496""}"
956277576,2022-11-16T08:58:16.503940+00:00,market,2670,Fuselage market order partially filled,"{""resource"": ""Fuselage"", ""amount"": 1, ""quality"": 0, ""price"": ""$2670.00"", ""buyer"": ""POYRAZ YATIRIM"", ""profit"": ""$-2021"", ""fees"": ""$2670"", ""remaining_fees"": ""$1496""}"
956235725,2022-11-16T08:08:52.969136+00:00,fees,-3277,Market fees selling High grade e-comps,{}
956235724,2022-11-16T08:08:52.964544+00:00,market,109220,High grade e-comps market order filled,"{""resource"": ""High grade e-comps"", ""amount"": 127, ""quality"": 2, ""price"": ""$860.00"", ""buyer"": ""Hock Enterprises"", ""profit"": 36853}"
956160259,2022-11-16T06:43:18.240849+00:00,bonds,50000,Bond call,"{""issuer"": ""SEVEN benseninanonimsirketi"", ""amount"": 10, ""interest"": 0.6}"
955981029,2022-11-16T03:30:41.976913+00:00,taxes,-30882,Accounting overhead,"{""Cash"": ""$1,338,064"", ""Investment in bonds"": ""$6,250,000"", ""Bonds payable"": ""$0"", ""Executive lift"": ""$0"", ""Cash/bonds value over $3,000,000 at 0.5%"": ""$22,941"", ""Cash/bonds value over $6,000,000 at 0.5%"": ""$7,941""}"
955946980,2022-11-16T02:37:00.926968+00:00,production,-7773,Production of Fuselage,"{""amount"": 42, ""price"": ""$2019.24"", ""quality"": 0}"
955946944,2022-11-16T02:36:56.103464+00:00,production,-7403,Production of Fuselage,"{""amount"": 40, ""price"": ""$2019.24"", ""quality"": 0}"
955946806,2022-11-16T02:36:41.126537+00:00,production,-6451,Production of Carbon composite,"{""amount"": 1000, ""price"": ""$45.98"", ""quality"": 1}"
955946589,2022-11-16T02:36:17.025352+00:00,production,-53617,Production of Carbon fibers,"{""amount"": 25790, ""price"": ""$4.96"", ""quality"": 1}"
955946506,2022-11-16T02:36:07.855484+00:00,production,-53617,Production of Carbon fibers,"{""amount"": 25790, ""price"": ""$4.96"", ""quality"": 1}"
955946321,2022-11-16T02:35:52.239249+00:00,market,-700000,Bought Crude oil on market,"{""amount"": 25000, ""price"": ""$28.00"", ""seller(s)"": ""EdeLat, Burgered, EcoEnergyLLC""}"
955925573,2022-11-16T02:02:48.797031+00:00,fees,-2160,Market fees selling Chemicals,{}
955925572,2022-11-16T02:02:48.790041+00:00,market,72000,Chemicals market order filled,"{""resource"": ""Chemicals"", ""amount"": 5000, ""quality"": 2, ""price"": ""$14.40"", ""buyer"": ""LEALPLASTIC INDUSTRIA"", ""profit"": 4490}"
955858560,2022-11-16T00:20:58.136846+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Oilexia""}"
955852733,2022-11-16T00:19:39.655489+00:00,interest,500,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""RWTH Primary Contractor""}"
955850368,2022-11-16T00:19:15.298866+00:00,interest,500,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""Eymo1919""}"
955848526,2022-11-16T00:18:57.235670+00:00,interest,2550,Bond yield,"{""bond value"": ""$500000"", ""interest"": ""0.5%"", ""issuer"": ""Capybara Company""}"
955841263,2022-11-16T00:17:44.603760+00:00,interest,688,Bond yield,"{""bond value"": ""$135000"", ""interest"": ""0.5%"", ""issuer"": ""Anadolu""}"
955833408,2022-11-16T00:16:17.226008+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Win Win Street food""}"
955823582,2022-11-16T00:14:56.574307+00:00,interest,1500,Bond yield,"{""bond value"": ""$300000"", ""interest"": ""0.5%"", ""issuer"": ""Gungor holding 0""}"
955820128,2022-11-16T00:14:35.494965+00:00,interest,1530,Bond yield,"{""bond value"": ""$300000"", ""interest"": ""0.5%"", ""issuer"": ""Unicorn Processing""}"
955817303,2022-11-16T00:14:17.213262+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""HABASHAVACILIK""}"
955794350,2022-11-16T00:12:33.102837+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Rockport""}"
955784532,2022-11-16T00:11:49.615054+00:00,interest,510,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""GRUP LDS""}"
955778148,2022-11-16T00:11:18.664069+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Wonka chocolate""}"
955776861,2022-11-16T00:11:12.961401+00:00,interest,1250,Bond yield,"{""bond value"": ""$250000"", ""interest"": ""0.5%"", ""issuer"": ""UGC Logistics""}"
955775852,2022-11-16T00:11:07.296305+00:00,interest,1000,Bond yield,"{""bond value"": ""$200000"", ""interest"": ""0.5%"", ""issuer"": ""Gwen Corp""}"
955774978,2022-11-16T00:11:03.975453+00:00,interest,500,Bond yield,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""issuer"": ""LACTALOS""}"
955773364,2022-11-16T00:10:57.179200+00:00,interest,625,Bond yield,"{""bond value"": ""$125000"", ""interest"": ""0.5%"", ""issuer"": ""Don Aspi TKOC""}"
